"Rank","Institution","Total enrollment, fall 2017","Revenue from tuition and fees","Spending on instruction","Revenue from tuition and fees, minus spending on instruction","Tuition-and-fees revenue as percentage of all revenue"
"1.","Arizona State U. (all 5 campuses and the Thunderbird School of Global Management)*","103,530","$1,250,828,000","$810,656,000","$440,172,000","51.2%"
"2.","U. of Maryland Global Campus","59,379","$290,943,901","$102,822,742","$188,121,159","72.3%"
"3.","Colorado State U. at Fort Collins","33,083","$438,129,184","$284,593,336","$153,535,848","38.3%"
"4.","U. of Arizona (includes South campus)*","44,216","$653,725,000","$506,363,000","$147,362,000","31.0%"
"5.","Miami U. (Ohio) (all 3 campuses)*","24,424","$347,969,971","$226,226,413","$121,743,558","52.7%"
"6.","Indiana U. at Bloomington","43,710","$742,668,977","$628,105,115","$114,563,862","45.6%"
"7.","U. of North Texas","38,276","$310,373,451","$200,868,187","$109,505,264","42.9%"
"8.","U. of Vermont","13,340","$313,547,000","$209,403,000","$104,144,000","42.3%"
"9.","Michigan State U.","50,019","$859,117,475","$762,111,549","$97,005,926","29.1%"
"10.","U. of Alabama at Tuscaloosa","38,563","$482,761,041","$387,462,769","$95,298,272","37.6%"
"11.","U. of Houston","45,364","$388,013,457","$293,117,613","$94,895,844","32.9%"
"12.","Auburn U.","29,776","$417,441,869","$325,435,648","$92,006,221","37.8%"
"13.","U. of Georgia","37,606","$453,158,505","$366,610,999","$86,547,506","27.4%"
"14.","U. of Texas at Arlington","46,497","$303,375,546","$217,389,267","$85,986,279","37.8%"
"15.","U. of Colorado at Boulder","35,338","$616,323,149","$534,528,412","$81,794,737","38.9%"
"16.","Clemson U.","24,387","$364,125,796","$284,122,481","$80,003,315","35.3%"
"17.","U. of Rhode Island","18,089","$216,954,017","$140,285,687","$76,668,330","39.3%"
"18.","West Virginia U.*","31,439","$395,428,841","$320,731,575","$74,697,266","35.8%"
"19.","Grand Valley State U.","25,049","$262,777,505","$189,261,201","$73,516,304","51.5%"
"20.","Texas Tech U.","36,996","$311,199,167","$241,647,501","$69,551,666","29.4%"
"21.","Rutgers U. at Newark","12,768","$194,619,000","$125,241,000","$69,378,000","46.7%"
"22.","Oakland U.","19,333","$208,079,780","$139,812,879","$68,266,901","58.2%"
